x-axis,1,2,REF1
second,Volt,Volt,Volt
-968.7500E-06,+6.6582914E-03,+63.1909541E-03,+0.0E+00
-968.6250E-06,+5.7788944E-03,+63.5678385E-03,+0.0E+00
-968.5000E-06,+6.4070351E-03,+63.8190948E-03,+0.0E+00
-968.3750E-06,+6.2814070E-03,+63.0653260E-03,+0.0E+00
-968.2500E-06,+7.0351758E-03,+63.4422104E-03,+0.0E+00
-968.1250E-06,+6.5326632E-03,+63.1909541E-03,+0.0E+00
-968.0000E-06,+7.0351758E-03,+63.4422104E-03,+0.0E+00
-967.8750E-06,+6.1557788E-03,+62.0603008E-03,+0.0E+00
-967.7500E-06,+7.0351758E-03,+63.0653260E-03,+0.0E+00
-967.6250E-06,+7.1608039E-03,+63.5678385E-03,+0.0E+00
-967.5000E-06,+7.7889446E-03,+65.0753762E-03,+0.0E+00
-967.3750E-06,+7.4120602E-03,+63.6934667E-03,+0.0E+00
-967.2500E-06,+6.9095477E-03,+62.5628134E-03,+0.0E+00
-967.1250E-06,+7.1608039E-03,+60.6783913E-03,+0.0E+00
-967.0000E-06,+7.4120602E-03,+63.0653260E-03,+0.0E+00
-966.8750E-06,+7.9145728E-03,+64.3216074E-03,+0.0E+00
-966.7500E-06,+7.0351758E-03,+64.5728636E-03,+0.0E+00
-966.6250E-06,+8.1658291E-03,+64.0703511E-03,+0.0E+00
-966.5000E-06,+7.4120602E-03,+62.6884415E-03,+0.0E+00
-966.3750E-06,+6.5326632E-03,+62.1859290E-03,+0.0E+00
-966.2500E-06,+6.6582914E-03,+63.6934667E-03,+0.0E+00
-966.1250E-06,+8.1658291E-03,+64.8241199E-03,+0.0E+00
-966.0000E-06,+8.4170853E-03,+63.6934667E-03,+0.0E+00
-965.8750E-06,+7.9145728E-03,+63.8190948E-03,+0.0E+00
-965.7500E-06,+8.0402009E-03,+62.5628134E-03,+0.0E+00
-965.6250E-06,+8.0402009E-03,+62.4371853E-03,+0.0E+00
-965.5000E-06,+8.6683416E-03,+63.4422104E-03,+0.0E+00
-965.3750E-06,+9.1708542E-03,+63.4422104E-03,+0.0E+00
-965.2500E-06,+8.5427135E-03,+64.0703511E-03,+0.0E+00
-965.1250E-06,+9.4221105E-03,+64.1959792E-03,+0.0E+00
-965.0000E-06,+8.4170853E-03,+63.3165822E-03,+0.0E+00
-964.8750E-06,+8.1658291E-03,+62.9396978E-03,+0.0E+00
-964.7500E-06,+8.6683416E-03,+62.5628134E-03,+0.0E+00
-964.6250E-06,+8.7939698E-03,+63.8190948E-03,+0.0E+00
-964.5000E-06,+8.7939698E-03,+63.6934667E-03,+0.0E+00
-964.3750E-06,+9.6733667E-03,+63.6934667E-03,+0.0E+00
-964.2500E-06,+9.0452260E-03,+62.9396978E-03,+0.0E+00
-964.1250E-06,+9.4221105E-03,+63.3165822E-03,+0.0E+00
-964.0000E-06,+9.5477386E-03,+63.3165822E-03,+0.0E+00
-963.8750E-06,+9.4221105E-03,+64.0703511E-03,+0.0E+00
-963.7500E-06,+9.2964823E-03,+63.4422104E-03,+0.0E+00
-963.6250E-06,+9.6733667E-03,+64.3216074E-03,+0.0E+00
-963.5000E-06,+9.5477386E-03,+63.5678385E-03,+0.0E+00
-963.3750E-06,+9.2964823E-03,+62.5628134E-03,+0.0E+00
-963.2500E-06,+8.5427135E-03,+63.0653260E-03,+0.0E+00
-963.1250E-06,+9.5477386E-03,+62.5628134E-03,+0.0E+00
-963.0000E-06,+10.4271356E-03,+65.0753762E-03,+0.0E+00
-962.8750E-06,+10.6783918E-03,+65.0753762E-03,+0.0E+00
-962.7500E-06,+10.1758793E-03,+64.0703511E-03,+0.0E+00
-962.6250E-06,+10.0502511E-03,+62.5628134E-03,+0.0E+00
-962.5000E-06,+9.7989949E-03,+61.9346727E-03,+0.0E+00
-962.3750E-06,+10.0502511E-03,+62.0603008E-03,+0.0E+00
-962.2500E-06,+10.6783918E-03,+64.4472355E-03,+0.0E+00
-962.1250E-06,+11.6834170E-03,+64.1959792E-03,+0.0E+00
-962.0000E-06,+11.3065325E-03,+64.8241199E-03,+0.0E+00
-961.8750E-06,+10.4271356E-03,+63.1909541E-03,+0.0E+00
-961.7500E-06,+10.1758793E-03,+62.0603008E-03,+0.0E+00
-961.6250E-06,+9.9246230E-03,+62.6884415E-03,+0.0E+00
-961.5000E-06,+10.8040200E-03,+64.5728636E-03,+0.0E+00
-961.3750E-06,+11.6834170E-03,+64.5728636E-03,+0.0E+00
-961.2500E-06,+11.6834170E-03,+63.8190948E-03,+0.0E+00
-961.1250E-06,+10.8040200E-03,+62.8140697E-03,+0.0E+00
-961.0000E-06,+10.4271356E-03,+61.9346727E-03,+0.0E+00
-960.8750E-06,+11.1809044E-03,+61.9346727E-03,+0.0E+00
-960.7500E-06,+11.0552763E-03,+63.4422104E-03,+0.0E+00
