Freq.,Vu_out/Vu_in
1.72186857498599e+000,-9.98065689982795e+000,1.63815039842792e+002
1.72583789199018e+000,-9.94135834115217e+000,1.63822440611702e+002
1.72981635921508e+000,-9.90205777338367e+000,1.63829759817271e+002
1.73380399775412e+000,-9.86275521029717e+000,1.63836997474020e+002
1.73780082874935e+000,-9.82345066575940e+000,1.63844153596357e+002
1.74180687339159e+000,-9.78414415335964e+000,1.63851228198382e+002
1.74582215292048e+000,-9.74483568682436e+000,1.63858221293978e+002
1.74984668862463e+000,-9.70552527974392e+000,1.63865132896587e+002
1.75388050184174e+000,-9.66621294581586e+000,1.63871963019944e+002
1.75792361395867e+000,-9.62689869858154e+000,1.63878711676771e+002
1.76197604641161e+000,-9.58758255154376e+000,1.63885378880039e+002
1.76603782068614e+000,-9.54826451828853e+000,1.63891964642317e+002
1.77010895831740e+000,-9.50894461230379e+000,1.63898468976088e+002
1.77418948089014e+000,-9.46962284693403e+000,1.63904891893171e+002
1.77827941003890e+000,-9.43029923567176e+000,1.63911233405399e+002
1.78237876744807e+000,-9.39097379194074e+000,1.63917493524675e+002
1.78648757485203e+000,-9.35164652903686e+000,1.63923672261939e+002
1.79060585403527e+000,-9.31231746033731e+000,1.63929769628329e+002
1.79473362683250e+000,-9.27298659911706e+000,1.63935785634734e+002
1.79887091512876e+000,-9.23365395858605e+000,1.63941720291504e+002
1.80301774085954e+000,-9.19431955210236e+000,1.63947573608968e+002
1.80717412601090e+000,-9.15498339277295e+000,1.63953345597108e+002
1.81134009261958e+000,-9.11564549384222e+000,1.63959036265581e+002
1.81551566277311e+000,-9.07630586836222e+000,1.63964645623974e+002
1.81970085860996e+000,-9.03696452954151e+000,1.63970173681383e+002
1.82389570231961e+000,-8.99762149046839e+000,1.63975620446807e+002
1.82810021614272e+000,-8.95827676414734e+000,1.63980985928799e+002
1.83231442237119e+000,-8.91893036367824e+000,1.63986270135722e+002
1.83653834334832e+000,-8.87958230196573e+000,1.63991473075770e+002
1.84077200146893e+000,-8.84023259212883e+000,1.63996594756877e+002
1.84501541917945e+000,-8.80088124700419e+000,1.64001635186355e+002
1.84926861897805e+000,-8.76152827946396e+000,1.64006594371692e+002
1.85353162341478e+000,-8.72217370259365e+000,1.64011472320072e+002
1.85780445509167e+000,-8.68281752904650e+000,1.64016269037895e+002
1.86208713666284e+000,-8.64345977180870e+000,1.64020984531924e+002
1.86637969083464e+000,-8.60410044363142e+000,1.64025618808223e+002
1.87068214036577e+000,-8.56473955729476e+000,1.64030171872808e+002
1.87499450806739e+000,-8.52537712554496e+000,1.64034643731207e+002
1.87931681680324e+000,-8.48601316115635e+000,1.64039034388850e+002
1.88364908948977e+000,-8.44664767683310e+000,1.64043343851035e+002
1.88799134909627e+000,-8.40728068521608e+000,1.64047572122397e+002
1.89234361864495e+000,-8.36791219899603e+000,1.64051719207379e+002
1.89670592121112e+000,-8.32854223077836e+000,1.64055785110538e+002
1.90107827992327e+000,-8.28917079312695e+000,1.64059769835678e+002
1.90546071796322e+000,-8.24979789873032e+000,1.64063673386452e+002
1.90985325856621e+000,-8.21042355998861e+000,1.64067495766329e+002
1.91425592502106e+000,-8.17104778954578e+000,1.64071236978567e+002
1.91866874067026e+000,-8.13167059989140e+000,1.64074897025884e+002
1.92309172891013e+000,-8.09229200352267e+000,1.64078475910947e+002
1.92752491319091e+000,-8.05291201280762e+000,1.64081973635902e+002
1.93196831701689e+000,-8.01353064024336e+000,1.64085390202844e+002
1.93642196394658e+000,-7.97414789820471e+000,1.64088725613537e+002
1.94088587759275e+000,-7.93476379916176e+000,1.64091979869396e+002
1.94536008162263e+000,-7.89537835536552e+000,1.64095152971482e+002
1.94984459975802e+000,-7.85599157916862e+000,1.64098244920695e+002
1.95433945577536e+000,-7.81660348297299e+000,1.64101255717639e+002
1.95884467350596e+000,-7.77721407895504e+000,1.64104185362348e+002
1.96336027683602e+000,-7.73782337948519e+000,1.64107033855266e+002
1.96788628970681e+000,-7.69843139676142e+000,1.64109801195664e+002
1.97242273611482e+000,-7.65903814310247e+000,1.64112487383206e+002
1.97696964011183e+000,-7.61964363055460e+000,1.64115092416986e+002
1.98152702580507e+000,-7.58024787140412e+000,1.64117616295686e+002
1.98609491735734e+000,-7.54085087777466e+000,1.64120059017824e+002
1.99067333898715e+000,-7.50145266182216e+000,1.64122420581773e+002
1.99526231496885e+000,-7.46205323567412e+000,1.64124700985407e+002
1.99986186963271e+000,-7.42265261141382e+000,1.64126900226324e+002
2.00447202736513e+000,-7.38325080115943e+000,1.64129018302056e+002
2.00909281260870e+000,-7.34384781692330e+000,1.64131055209450e+002
2.01372424986236e+000,-7.30444367075542e+000,1.64133010945355e+002
2.01836636368153e+000,-7.26503837470106e+000,1.64134885506047e+002
