  Time                  V(R3:1)               V(V5:+)               V(U1:OUT)            
  2.842216629028e-003  -6.735671119940e-002  2.970253201902e-001  -2.233850845425e+000  
  2.867216629028e-003  -4.816564043110e-002  2.857257787574e-001  -2.393198604743e+000  
  2.892216629028e-003  -2.532623986182e-002  2.242092387735e-001  -2.058834845816e+000  
  2.917216629028e-003  5.991086667996e-004  1.485112550509e-001  -1.566622648366e+000  
  2.942216629028e-003  2.897203703269e-002  1.029746798098e-001  -1.309814663797e+000  
  2.967216629028e-003  5.909390957513e-002  1.142742212426e-001  -1.648718723695e+000  
  2.991264480591e-003  8.902813341640e-002  1.728997419477e-001  -2.470498890865e+000  
  3.016264480591e-003  1.204029931551e-001  2.489018107833e-001  -3.548071332265e+000  
  3.041264480591e-003  1.512754634887e-001  2.962578620867e-001  -4.390356554582e+000  
  3.062825149536e-003  1.769140190066e-001  2.919922337409e-001  -4.675161125318e+000  
  3.084523147583e-003  2.012920441529e-001  2.467287013779e-001  -4.534013460545e+000  
  3.109523147583e-003  2.270225114560e-001  1.705264697252e-001  -4.049157139248e+000  
  3.134523147583e-003  2.496252629634e-001  1.115894323764e-001  -3.644086865927e+000  
  3.159523147583e-003  2.685437439189e-001  1.044421064844e-001  -3.691156517455e+000  
  3.184523147583e-003  2.833121185345e-001  1.532712986221e-001  -4.250049242142e+000  
  3.209523147583e-003  2.935667404137e-001  2.294735302748e-001  -5.110687241954e+000  
  3.234523147583e-003  2.990551067328e-001  2.884105676236e-001  -5.804209518166e+000  
  3.259523147583e-003  2.996420756981e-001  2.955578935156e-001  -5.973770797968e+000  
  3.284523147583e-003  2.953131941856e-001  2.467287013779e-001  -5.518336067977e+000  
  3.309523147583e-003  2.861750536250e-001  1.705264697252e-001  -4.689308016380e+000  
  3.334523147583e-003  2.724526653645e-001  1.115894323764e-001  -3.921503920385e+000  
  3.359523147583e-003  2.544839201452e-001  1.044421064844e-001  -3.592936924235e+000  
  3.384523147583e-003  2.327112681091e-001  1.532712986221e-001  -3.797379998931e+000  
  3.409523147583e-003  2.076708242088e-001  2.294735302748e-001  -4.296130173528e+000  
  3.434523147583e-003  1.799791672775e-001  2.884105676236e-001  -4.658566354586e+000  
  3.459523147583e-003  1.503181578121e-001  2.955578935156e-001  -4.518960696500e+000  
  3.484523147583e-003  1.194181483051e-001  2.467287013779e-001  -3.793993754545e+000  
  3.509523147583e-003  8.803999954160e-002  1.705264697252e-001  -2.735681979454e+000  
  3.534523147583e-003  5.695634568238e-002  1.115894323764e-001  -1.787859619522e+000  
  3.559523147583e-003  2.693256944615e-002  1.044421064844e-001  -1.331092629748e+000  
  3.584523147583e-003  -1.292044152937e-003  1.532712986221e-001  -1.463516641793e+000  
  3.609523147583e-003  -2.702251145596e-002  2.294735302748e-001  -1.947459849240e+000  
  3.634523147583e-003  -4.962526296339e-002  2.884105676236e-001  -2.353066302380e+000  
  3.659523147583e-003  -6.854374391889e-002  2.955578935156e-001  -2.313314280504e+000  
  3.684523147583e-003  -8.331211853448e-002  2.467287013779e-001  -1.742502868809e+000  
  3.709523147583e-003  -9.356674041372e-002  1.705264697252e-001  -8.888331154150e-001  
  3.734523147583e-003  -9.905510673279e-002  1.115894323764e-001  -1.912518741557e-001  
  3.751329177856e-003  -9.999302533412e-002  1.000871711626e-001  -1.197770365757e-002  
  3.768803543091e-003  -9.860577173811e-002  1.169466091485e-001  -1.254707076319e-001  
  3.793452590942e-003  -9.259215800997e-002  1.795754476169e-001  -7.532041994127e-001  
  3.816529983520e-003  -8.277888567780e-002  2.496276664712e-001  -1.549769444121e+000  
  3.841529983520e-003  -6.782759952535e-002  2.964805548379e-001  -2.221704032338e+000  
  3.866529983520e-003  -4.874384088471e-002  2.868164426858e-001  -2.396224965945e+000  
  3.891529983520e-003  -2.599751522898e-002  2.262964358454e-001  -2.072290497732e+000  
  3.916529983520e-003  -1.487125865427e-004  1.503723335288e-001  -1.578735765863e+000  
  3.941529983520e-003  2.816608373430e-002  1.035194451621e-001  -1.309563137265e+000  
  3.966529983520e-003  5.824966947671e-002  1.131835573142e-001  -1.631565960928e+000  
  3.990690750122e-003  8.830832101003e-002  1.711692597538e-001  -2.446723446992e+000  
  4.015690750122e-003  1.196856525736e-001  2.473217427324e-001  -3.524349733605e+000  
  4.040690750122e-003  1.505782580378e-001  2.957537906135e-001  -4.376439271484e+000  
  4.062449783325e-003  1.764783820458e-001  2.924482105242e-001  -4.673868373745e+000  
  4.084349197388e-003  2.011034995992e-001  2.472111478690e-001  -4.536547465283e+000  
  4.109349197388e-003  2.268535906733e-001  1.710491126283e-001  -4.052803091213e+000  
  4.134349197388e-003  2.494801253421e-001  1.118461145672e-001  -3.645655400273e+000  
  4.159349197388e-003  2.684259632289e-001  1.042824670168e-001  -3.688996377362e+000  
  4.184349197388e-003  2.832245949273e-001  1.527888521310e-001  -4.244616287752e+000  
  4.209349197388e-003  2.935116290110e-001  2.289508873717e-001  -5.104771536231e+000  
  4.234349197388e-003  2.990337645601e-001  2.881538854328e-001  -5.800870254631e+000  
  4.259349197388e-003  2.996550282706e-001  2.957175329832e-001  -5.974861444090e+000  
  4.284349197388e-003  2.953601225680e-001  2.472111478690e-001  -5.523238581605e+000  
  4.309349197388e-003  2.862548022847e-001  1.710491126283e-001  -4.695403441733e+000  
  4.334349197388e-003  2.725632706250e-001  1.118461145672e-001  -3.925636735805e+000  
  4.359349197388e-003  2.546226585377e-001  1.042824670168e-001  -3.593287671634e+000  
  4.384349197388e-003  2.328747234341e-001  1.527888521310e-001  -3.794499418707e+000  
  4.409349197388e-003  2.078549716537e-001  2.289508873717e-001  -4.292606520589e+000  
  4.434349197388e-003  1.801794725209e-001  2.881538854328e-001  -4.657481737967e+000  
  4.459349197388e-003  1.505296886743e-001  2.957175329832e-001  -4.522063768302e+000  
  4.484349197388e-003  1.196356961941e-001  2.472111478690e-001  -3.800645440000e+000  
  4.509349197388e-003  8.825820770652e-002  1.710491126283e-001  -2.743205078402e+000  
  4.534349197388e-003  5.716984111394e-002  1.118461145672e-001  -1.793072569353e+000  
  4.559349197388e-003  2.713609517827e-002  1.042824670168e-001  -1.332142946389e+000  
  4.584349197388e-003  -1.103499599241e-003  1.527888521310e-001  -1.460941391683e+000  
  4.609349197388e-003  -2.685359067335e-002  2.289508873717e-001  -1.943838168353e+000  
  4.634349197388e-003  -4.948012534214e-002  2.881538854328e-001  -2.351483598153e+000  
  4.659349197388e-003  -6.842596322892e-002  2.957175329832e-001  -2.315531156957e+000  
  4.684349197388e-003  -8.322459492728e-002  2.472111478690e-001  -1.747902609310e+000  
  4.709349197388e-003  -9.351162901096e-002  1.710491126283e-001  -8.947682596132e-001  
  4.734349197388e-003  -9.903376456011e-002  1.118461145672e-001  -1.945798290386e-001  
  4.751191848755e-003  -9.999439210335e-002  1.000700908463e-001  -1.234293453318e-002  
  4.768769973755e-003  -9.861073966637e-002  1.168879168366e-001  -1.249003066028e-001  
  4.793260330200e-003  -9.265716337943e-002  1.789845514512e-001  -7.470142379626e-001  
  4.816322463989e-003  -8.288459309531e-002  2.490606231172e-001  -1.542755956104e+000  
  4.841322463989e-003  -6.796929813292e-002  2.963070682456e-001  -2.217955901693e+000  
  4.866322463989e-003  -4.891804159236e-002  2.871381389482e-001  -2.391475106702e+000  
  4.891322463989e-003  -2.619992863715e-002  2.269248696549e-001  -2.079600000884e+000  
  4.916322463989e-003  -3.743546053433e-004  1.509393768828e-001  -1.568227817650e+000  
  4.941279739380e-003  2.787269018105e-002  1.037291579501e-001  -1.317851951902e+000  
  4.966279739380e-003  5.794218325101e-002  1.127960887685e-001  -1.620583070526e+000  
  4.991279739380e-003  8.904727935123e-002  1.729458880944e-001  -2.473436863444e+000  
  5.016279739380e-003  1.204220677838e-001  2.489436192566e-001  -3.534827426055e+000  
  5.041279739380e-003  1.512939971306e-001  2.962708420499e-001  -4.398781831184e+000  
  5.066279739380e-003  1.809028980330e-001  2.872039112315e-001  -4.679483013573e+000  
  5.090330642700e-003  2.075159439383e-001  2.299121451914e-001  -4.440062099203e+000  
  5.115330642700e-003  2.325737569735e-001  1.536778876201e-001  -3.930708359921e+000  
  5.140330642700e-003  2.543671641249e-001  1.045784952432e-001  -3.605330650678e+000  
  5.161930984497e-003  2.701533333076e-001  1.069427537700e-001  -3.722090690081e+000  
  5.183686965942e-003  2.828893891807e-001  1.509651937124e-001  -4.228069290644e+000  
  5.208686965942e-003  2.932997043215e-001  2.269533994456e-001  -5.079844807895e+000  
  5.233686965942e-003  2.989503392171e-001  2.871526693357e-001  -5.789274004106e+000  
  5.258686965942e-003  2.997021564828e-001  2.962990875259e-001  -5.969829593582e+000  
  5.283686965942e-003  2.955366438824e-001  2.490348062876e-001  -5.546935095518e+000  
  5.308686965942e-003  2.865563701607e-001  1.730466005544e-001  -4.715594399957e+000  
  5.333439773560e-003  2.731381636605e-001  1.132307482020e-001  -3.949215675222e+000  
  5.358439773560e-003  2.553449816986e-001  1.034945042231e-001  -3.594631598636e+000  
  5.383439773560e-003  2.337266907268e-001  1.502898708268e-001  -3.780232863149e+000  
  5.401493972778e-003  2.160330599997e-001  2.046917309315e-001  -4.124784977282e+000  
  5.425294631958e-003  1.904680534512e-001  2.713621473381e-001  -4.557343488121e+000  
  5.448103469849e-003  1.640655628512e-001  2.998225562230e-001  -4.647654132391e+000  
  5.473103469849e-003  1.336385243170e-001  2.747957449311e-001  -4.195009317796e+000  
  5.498103469849e-003  1.023831936744e-001  2.059546006664e-001  -3.230058292551e+000  
  5.523103469849e-003  7.106918089405e-002  1.336253320898e-001  -2.180364219138e+000  
  5.548103469849e-003  4.046754089601e-002  1.001774437770e-001  -1.476331770517e+000  
  5.573103469849e-003  1.133178761802e-002  1.252042550689e-001  -1.343120351851e+000  
  5.598103469849e-003  -1.562065999821e-002  1.940453993336e-001  -1.705650305450e+000  
  5.623103469849e-003  -3.972614324230e-002  2.663746679102e-001  -2.207244596015e+000  
  5.648103469849e-003  -6.039110511529e-002  2.998225562230e-001  -2.399370861997e+000  
  5.673103469849e-003  -7.710670567278e-002  2.747957449312e-001  -2.060787074835e+000  
  5.698103469849e-003  -8.946135135315e-002  2.059546006664e-001  -1.287139712796e+000  
  5.723103469849e-003  -9.715082977703e-002  1.336253320898e-001  -4.621893180711e-001  
  5.744239944458e-003  -9.986903185557e-002  1.016328175715e-001  -5.889351642686e-002  
